2023-10-24 14:57:43,990 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml
2023-10-24 14:57:45,146 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 14:57:46,179 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/main/java
2023-10-24 14:57:46,180 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /examen_CL2/src/main/resources
2023-10-24 14:57:46,181 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/test/java
2023-10-24 14:57:47,801 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2023-10-24 14:57:48,185 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 14:57:48,192 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 14:57:48,195 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 14:57:48,196 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 14:57:49,778 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 14:57:49,781 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 14:57:49,783 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 14:57:49,784 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 14:57:50,856 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 14:57:50,857 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 14:57:50,858 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 14:57:50,859 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:01:56,583 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 15:01:57,283 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:01:57,286 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:01:57,288 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:01:57,288 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:01:57,289 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of examen_CL2
2023-10-24 15:01:57,291 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for examen_CL2
2023-10-24 15:01:57,297 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:21,810 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 15:02:22,495 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:22,497 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:02:22,498 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:22,500 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:02:22,500 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of examen_CL2
2023-10-24 15:02:22,500 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for examen_CL2
2023-10-24 15:02:22,504 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:26,872 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:26,873 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-10-24 15:02:26,875 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 15:02:26,876 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 15:02:32,285 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-10-24 15:02:33,499 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 15:02:34,026 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/main/java
2023-10-24 15:02:34,026 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /examen_CL2/src/main/resources
2023-10-24 15:02:34,027 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/test/java
